family	init-inferred-rf	init-true-rf	inferred-true-rf
PF13627	0.9622641509433962	0.8113207547169812	0.9622641509433962
PF00107	0.9634146341463414	0.7073170731707317	0.9634146341463414
PF13192	0.9298245614035088	0.543859649122807	0.9473684210526315
PF10990	0.9558823529411765	0.6323529411764706	0.9411764705882353
PF10404	0.968	0.536	0.952
PF00153	0.9240506329113924	0.5822784810126582	0.9177215189873418
PF06743	0.95	0.52	0.94
PF13904	0.8656716417910447	0.40298507462686567	0.8656716417910447
PF03203	0.9	0.55	0.8833333333333333
PF05603	0.921875	0.5	0.953125
PF10203	0.9354838709677419	0.46774193548387094	0.9032258064516129
PF22278	0.9401197604790419	0.562874251497006	0.9281437125748503
PF23299	0.9873417721518988	0.4430379746835443	0.9746835443037974
PF13645	0.9122807017543859	0.43859649122807015	0.8771929824561403
PF16558	0.9473684210526315	0.49122807017543857	0.9649122807017544
PF22286	0.9056603773584906	0.5094339622641509	0.9056603773584906
PF19891	0.9715909090909091	0.5397727272727273	0.9602272727272727
PF18374	0.9473684210526315	0.5964912280701754	0.9649122807017544
PF09907	0.9351851851851852	0.5092592592592593	0.9351851851851852
PF01471	0.9513513513513514	0.745945945945946	0.9513513513513514
PF24466	0.9484536082474226	0.6907216494845361	0.9381443298969072
PF20452	0.9215686274509803	0.4117647058823529	0.9215686274509803
PF11667	0.9117647058823529	0.45588235294117646	0.9117647058823529
PF02359	0.9560439560439561	0.4945054945054945	0.9120879120879121
PF14389	0.9818181818181818	0.5454545454545454	0.9636363636363636
PF00650	0.9659090909090909	0.45454545454545453	0.9204545454545454
PF08287	0.9090909090909091	0.36363636363636365	0.9090909090909091
PF20232	0.86	0.48	0.84
PF20922	0.8939393939393939	0.4090909090909091	0.8939393939393939
PF18816	0.9634146341463414	0.6829268292682927	0.9512195121951219
PF07627	0.9702970297029703	0.5445544554455446	0.9603960396039604
PF07559	0.9433962264150944	0.5283018867924528	0.9339622641509434
PF13967	0.9032258064516129	0.3467741935483871	0.8709677419354839
PF21789	0.9682539682539683	0.7777777777777778	0.8888888888888888
PF09949	0.9289940828402367	0.514792899408284	0.9112426035502958
PF10357	0.97	0.37	0.96
PF12357	0.925	0.5875	0.9125
PF14903	0.9813664596273292	0.9565217391304348	0.9937888198757764
PF18914	0.9473684210526315	0.8486842105263158	0.9736842105263158
PF25358	0.98989898989899	0.3939393939393939	0.9696969696969697
PF14117	0.9622641509433962	0.4528301886792453	0.9433962264150944
PF25581	0.9685534591194969	0.5157232704402516	0.9748427672955975
PF20068	0.9375	0.4791666666666667	0.9375
